id,original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,genre_names,profit
665567,黒い乙女A,Black Maiden: Chapter A,ja,2019-08-16,1.065,3,4.0,0,0,78,Released,False,Horror,0
140499,Yellow,Yellow,en,2012-10-01,1.473,13,5.2,0,0,26,Released,False,"Drama, Horror, Mystery, Thriller",0
273651,America's Most Haunted,America's Most Haunted,en,2013-05-08,3.185,15,4.7,0,0,85,Released,False,"Comedy, Horror",0
634301,Captors,Captors,en,2022-05-24,4.308,3,3.3,0,0,94,Released,False,"Horror, Thriller",0
394315,少女椿,Midori: The Camellia Girl,ja,2016-05-21,3.315,24,7.3,0,0,91,Released,False,"Drama, Horror",0
497327,Asylum of Fear,Asylum of Fear,en,2018-01-09,4.555,41,5.6,0,0,79,Released,False,"Horror, Mystery, Thriller",0
94874,Savage Weekend,Savage Weekend,en,1979-03-09,2.899,33,4.2,0,0,88,Released,False,"Horror, Thriller",0
489881,The Temple of Lilith,The Temple of Lilith,en,2017-11-29,0.909,2,4.0,0,0,3,Released,False,Horror,0
100191,Beyond the Seventh Door,Beyond the Seventh Door,en,1987-06-28,0.6,5,5.2,0,0,83,Released,False,"Crime, Horror, Thriller",0
932147,Una película de zombies,Una película de zombies,es,2022-01-29,2.058,1,6.0,0,0,57,Released,False,"Comedy, Horror",0
1028674,The Exorcism,The Exorcism,en,2017-05-13,0.6,0,0.0,0,0,4,Released,False,"Comedy, Horror",0
1008293,Konečná,Konečná,cs,1970-01-01,0.6,0,0.0,0,0,0,Released,False,Horror,0
227623,None Left Standing,None Left Standing,en,2002-03-07,0.896,0,0.0,0,0,92,Released,False,"Drama, Horror",0
641992,O Mensageiro das Trevas,O Mensageiro das Trevas,pt,2000-01-01,0.6,0,0.0,0,0,43,Released,False,Horror,0
28719,大魔神,Daimajin,ja,1966-04-16,3.147,39,6.5,0,0,84,Released,False,"Drama, Fantasy, Horror",0
